Domain,Area,Element,Item,Year,Value
"Forestry Production and Trade","Afghanistan","Production","Wood fuel, coniferous (production)","2016","547167"
"Forestry Production and Trade","Afghanistan","Production","Wood fuel, non-coniferous (production)","2016","1276630"
"Forestry Production and Trade","Afghanistan","Import Quantity","Wood fuel, all species (export/import)","2016","163"
"Forestry Production and Trade","Afghanistan","Export Quantity","Wood fuel, all species (export/import)","2016","15"
"Forestry Production and Trade","Afghanistan","Import Quantity","Industrial roundwood, coniferous (export/import)","2016","66"
"Forestry Production and Trade","Afghanistan","Export Quantity","Industrial roundwood, coniferous (export/import)","2016","102"
"Forestry Production and Trade","Afghanistan","Import Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","9"
"Forestry Production and Trade","Afghanistan","Export Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","37"
"Forestry Production and Trade","Afghanistan","Import Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","654"
"Forestry Production and Trade","Afghanistan","Export Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","4450"
"Forestry Production and Trade","Afghanistan","Production","Sawlogs and veneer logs, coniferous","2016","820000"
"Forestry Production and Trade","Afghanistan","Production","Sawlogs and veneer logs, non-coniferous","2016","36000"
"Forestry Production and Trade","Afghanistan","Production","Other industrial roundwood, coniferous (production)","2016","179000"
"Forestry Production and Trade","Afghanistan","Production","Other industrial roundwood, non-coniferous (production)","2016","725000"
"Forestry Production and Trade","Afghanistan","Production","Wood charcoal","2016","133132"
"Forestry Production and Trade","Afghanistan","Import Quantity","Wood charcoal","2016","305"
"Forestry Production and Trade","Afghanistan","Export Quantity","Wood charcoal","2016","1"
"Forestry Production and Trade","Afghanistan","Import Quantity","Wood chips and particles","2016","325"
"Forestry Production and Trade","Afghanistan","Export Quantity","Wood chips and particles","2016","0"
"Forestry Production and Trade","Afghanistan","Import Quantity","Wood residues","2016","86"
"Forestry Production and Trade","Afghanistan","Export Quantity","Wood residues","2016","30"
"Forestry Production and Trade","Afghanistan","Production","Sawnwood, coniferous","2016","380000"
"Forestry Production and Trade","Afghanistan","Import Quantity","Sawnwood, coniferous","2016","168383"
"Forestry Production and Trade","Afghanistan","Export Quantity","Sawnwood, coniferous","2016","2"
"Forestry Production and Trade","Afghanistan","Production","Sawnwood, non-coniferous all","2016","20000"
"Forestry Production and Trade","Afghanistan","Import Quantity","Sawnwood, non-coniferous all","2016","27"
"Forestry Production and Trade","Afghanistan","Export Quantity","Sawnwood, non-coniferous all","2016","11"
"Forestry Production and Trade","Afghanistan","Import Quantity","Veneer sheets","2016","2"
"Forestry Production and Trade","Afghanistan","Export Quantity","Veneer sheets","2016","15"
"Forestry Production and Trade","Afghanistan","Import Quantity","Plywood","2016","2062"
"Forestry Production and Trade","Afghanistan","Export Quantity","Plywood","2016","3"
"Forestry Production and Trade","Afghanistan","Production","Particle board","2016","0"
"Forestry Production and Trade","Afghanistan","Import Quantity","Particle board","2016","89"
"Forestry Production and Trade","Afghanistan","Export Quantity","Particle board","2016","33"
"Forestry Production and Trade","Afghanistan","Import Quantity","OSB","2016","15"
"Forestry Production and Trade","Afghanistan","Import Quantity","Hardboard","2016","259"
"Forestry Production and Trade","Afghanistan","Export Quantity","Hardboard","2016","1"
"Forestry Production and Trade","Afghanistan","Import Quantity","MDF/HDF","2016","7729"
"Forestry Production and Trade","Afghanistan","Export Quantity","MDF/HDF","2016","1"
"Forestry Production and Trade","Afghanistan","Import Quantity","Other fibreboard","2016","35955"
"Forestry Production and Trade","Afghanistan","Export Quantity","Other fibreboard","2016","3"
"Forestry Production and Trade","Afghanistan","Import Quantity","Mechanical wood pulp","2016","0"
"Forestry Production and Trade","Afghanistan","Import Quantity","Semi-chemical wood pulp","2016","1"
"Forestry Production and Trade","Afghanistan","Import Quantity","Chemical wood pulp","2016","154"
