"","Area","Element","Item","Value"
"1","ASIA (EX. NEAR EAST)","Production","Wood fuel",547167
"2","ASIA (EX. NEAR EAST)","Production","Wood fuel",1276630
"3","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",163
"4","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",15
"5","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",66
"6","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",102
"7","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",9
"8","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",37
"9","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",654
"10","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",4450
"11","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",820000
"12","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",36000
"13","ASIA (EX. NEAR EAST)","Production","Roundwood",179000
"14","ASIA (EX. NEAR EAST)","Production","Roundwood",725000
"15","ASIA (EX. NEAR EAST)","Production","Wood fuel",133132
"16","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",305
"17","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",1
"18","ASIA (EX. NEAR EAST)","Import Quantity","Wood chips and particles",325
"20","ASIA (EX. NEAR EAST)","Import Quantity","Wood residues",86
"21","ASIA (EX. NEAR EAST)","Export Quantity","Wood residues",30
"22","ASIA (EX. NEAR EAST)","Production","Sawnwood",380000
"23","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",168383
"24","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",2
"25","ASIA (EX. NEAR EAST)","Production","Sawnwood",20000
"26","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",27
"27","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",11
"28","ASIA (EX. NEAR EAST)","Import Quantity","Veneer sheets",2
"29","ASIA (EX. NEAR EAST)","Export Quantity","Veneer sheets",15
"30","ASIA (EX. NEAR EAST)","Import Quantity","Plywood",2062
"31","ASIA (EX. NEAR EAST)","Export Quantity","Plywood",3
"33","ASIA (EX. NEAR EAST)","Import Quantity","Particle board",89
"34","ASIA (EX. NEAR EAST)","Export Quantity","Particle board",33
"35","ASIA (EX. NEAR EAST)","Import Quantity","OSB",15
"36","ASIA (EX. NEAR EAST)","Import Quantity","Hardboard",259
"37","ASIA (EX. NEAR EAST)","Export Quantity","Hardboard",1
"38","ASIA (EX. NEAR EAST)","Import Quantity","MDF/HDF",7729
"39","ASIA (EX. NEAR EAST)","Export Quantity","MDF/HDF",1
"40","ASIA (EX. NEAR EAST)","Import Quantity","Other fibreboard",35955
"41","ASIA (EX. NEAR EAST)","Export Quantity","Other fibreboard",3
"43","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1
"44","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",154
"45","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",19
"46","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",130
"47","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",24
"48","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",19
"49","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",12
"50","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",16
"51","ASIA (EX. NEAR EAST)","Import Quantity","Pulp from fibres other than wood",136
"52","ASIA (EX. NEAR EAST)","Import Quantity","Paper",580
"53","ASIA (EX. NEAR EAST)","Export Quantity","Paper",163
"54","ASIA (EX. NEAR EAST)","Import Quantity","Newsprint",26
"55","ASIA (EX. NEAR EAST)","Export Quantity","Newsprint",104
"56","ASIA (EX. NEAR EAST)","Import Quantity","Paper",540
"57","ASIA (EX. NEAR EAST)","Export Quantity","Paper",544
"58","ASIA (EX. NEAR EAST)","Import Quantity","Paper",19
"59","ASIA (EX. NEAR EAST)","Export Quantity","Paper",107
"60","ASIA (EX. NEAR EAST)","Import Quantity","Paper",427
"61","ASIA (EX. NEAR EAST)","Export Quantity","Paper",76
"62","ASIA (EX. NEAR EAST)","Import Quantity","Paper",94
"63","ASIA (EX. NEAR EAST)","Export Quantity","Paper",361
"64","ASIA (EX. NEAR EAST)","Import Quantity","Paper",3407
"65","ASIA (EX. NEAR EAST)","Export Quantity","Paper",229
"66","ASIA (EX. NEAR EAST)","Import Quantity","Paper",205
"67","ASIA (EX. NEAR EAST)","Export Quantity","Paper",10
"68","ASIA (EX. NEAR EAST)","Import Quantity","Paper",3076
"69","ASIA (EX. NEAR EAST)","Export Quantity","Paper",218
"70","ASIA (EX. NEAR EAST)","Import Quantity","Case materials",2276
"71","ASIA (EX. NEAR EAST)","Export Quantity","Case materials",1
"72","ASIA (EX. NEAR EAST)","Import Quantity","Cartonboard",710
"73","ASIA (EX. NEAR EAST)","Export Quantity","Cartonboard",60
"74","ASIA (EX. NEAR EAST)","Import Quantity","Paper",25
"75","ASIA (EX. NEAR EAST)","Export Quantity","Paper",155
"76","ASIA (EX. NEAR EAST)","Import Quantity","Paper",65
"77","ASIA (EX. NEAR EAST)","Export Quantity","Paper",2
"78","ASIA (EX. NEAR EAST)","Import Quantity","Paper",126
