"x","region"
"Antigua and Barbuda","LATIN AMER. & CARIB"
"Bahamas","LATIN AMER. & CARIB"
"Bolivia (Plurinational State of)","LATIN AMER. & CARIB"
"British Virgin Islands","LATIN AMER. & CARIB"
"Cabo Verde","OCEAN"
"Central African Republic","SUB-SAHARAN AFRICA"
"Côte d'Ivoire","NORTHERN AFRICA"
"Curaçao","LATIN AMER. & CARIB"
"Czechia","EASTERN EUROPE"
"Democratic People's Republic of Korea","ASIA (EX. NEAR EAST)"
"Democratic Republic of the Congo","ASIA (EX. NEAR EAST)"
"Gambia","NORTHERN AFRICA"
"Lao People's Democratic Republic","ASIA (EX. NEAR EAST)"
"Micronesia (Federated States of)","OCEAN"
"Myanmar","ASIA (EX. NEAR EAST)"
"Niue","OCEAN"
"Northern Mariana Islands","OCEAN"
"Republic of Moldova","EASTERN EUROPE"
"Saint Kitts and Nevis","LATIN AMER. & CARIB"
"Sao Tome and Principe","SUB-SAHARAN AFRICA"
"South Sudan","NORTHERN AFRICA"
"Syrian Arab Republic","ASIA (EX. NEAR EAST)"
"The former Yugoslav Republic of Macedonia","EASTERN EUROPE"
"Timor-Leste","ASIA (EX. NEAR EAST)"
"Trinidad and Tobago","LATIN AMER. & CARIB"
"Turks and Caicos Islands","LATIN AMER. & CARIB"
"United Republic of Tanzania","SUB-SAHARAN AFRICA"
"United States Virgin Islands","SUB-SAHARAN AFRICA"
"Venezuela (Bolivarian Republic of)","NORTHERN AFRICA"
